id;code;marke;model;mann;frau;tag;abend;fruehlingsommer;herbstwinter;orientalisch;holzig;fruchtig;frisch;wuerzig;suess;blumig;aquatisch;zitrus;freizeit;Sport;Arbeit;Ausgehen;jung;alt#
70;71;Bvlgari;AQVA POUR HOMME;1;%;1;%;1;%;%;%;1;1;%;%;%;1;1;%;%;%;%;%;%#
71;72;Christian Dior;DIOR HOMME;1;%;%;1;%;1;%;1;%;%;1;1;%;%;%;%;%;%;%;%;%#
72;73;Bvlgari;BLV BLUE;1;%;1;%;1;%;%;1;%;1;1;1;1;%;%;%;%;%;%;%;%#
73;74;Bvlgari;SOIR;1;%;1;1;1;1;%;1;%;1;%;%;%;%;1;%;%;%;%;%;%#
74;75;Givenchy;BLUE LABEL;1;%;1;%;1;%;%;1;%;1;1;%;%;1;1;%;%;%;%;%;%#
75;76;Antonio Banderas;BLUE SEDUCTION;1;%;1;%;1;%;%;%;1;%;%;%;%;1;1;%;%;%;%;%;%#
76;77;Cacharel;AMOR POUR HOMME;1;%;1;1;%;1;%;1;%;%;1;1;1;%;%;%;%;%;%;%;%#
77;78;Carolina Herrera;CHIC MEN;1;%;1;1;1;%;%;1;1;1;1;1;%;%;1;%;%;%;%;%;%#
78;79;Hugo Boss;HUGO ENERGISE;1;%;1;%;1;%;%;1;1;1;%;%;%;%;1;%;%;%;%;%;%#
79;80;Lolita Lempicka;LOLITA;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
80;81;Hugo Boss;JUST DIFFERENT;1;%;1;%;1;1;%;1;1;1;1;%;%;%;%;%;%;%;%;%;%#
81;82;Calvin Klein;EUPHORIA;1;%;1;%;1;1;%;1;1;1;1;1;%;%;%;%;%;%;%;%;%#
82;83;DKNY;BE DELICIOUS;1;%;1;%;1;%;%;1;1;%;1;1;%;%;%;%;%;%;%;%;%#
83;84;Bvlgari;BLV NOTTE;1;%;1;1;%;1;%;1;%;%;1;%;%;%;%;%;%;%;%;%;%#
84;85;Calvin Klein;IN2U;1;%;1;%;1;%;%;1;%;1;%;%;%;%;1;%;%;%;%;%;%#
85;86;Giorgio Armani;DIAMONDS;1;%;1;1;1;1;%;1;%;1;1;1;%;%;%;%;%;%;%;%;%#
86;87;Davidoff;ADVENTURE;1;%;1;1;1;1;%;1;%;1;1;%;%;%;1;%;%;%;%;%;%#
87;88;Gucci;BY GUCCI;1;%;1;1;1;1;%;1;%;1;1;%;1;%;1;%;%;%;%;%;%#
88;89;Dolce&Gabana;THE ONE;1;%;1;1;%;1;1;1;1;%;1;1;%;%;%;%;%;%;%;%;%#
89;90;Givenchy;PI NEO;1;%;1;%;1;%;%;1;%;1;1;1;%;%;%;%;%;%;%;%;%#
90;91;Bvlgari;BVLGARI MAN;1;%;1;1;1;%;%;1;%;1;1;%;%;%;1;%;%;%;%;%;%#
91;92;Pien Parfume;BY CHOCOLATE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
92;93;Ralph Lauren;POLO BLACK;1;%;1;%;%;%;%;1;1;1;1;1;%;%;%;%;%;%;%;%;%#
93;94;Dunlop;DUNLOP;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
94;95;Jagler;JAGLER;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
95;96;Calvin Klein;C.K.BE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
96;97;Paco Rabbanne;ONE MILLION;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
97;98;Abercrombie Fitch;FIERCE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
98;99;Davidoff;HOT WATER;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
99;100;Diesel;ONLY THE BRAVE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
100;101;Givenchy;PLAY;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
101;102;Davidoff;SILVER SHODOW;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
102;103;JOOP;GO;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
103;104;Burberry;BURBERRY SPORT;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
104;105;YSL;L-HOMME;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
105;106;Chanel;PLATINIM EGOISTE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
106;107;Davidoff;CHAMPION;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
107;108;Chanel;BLUE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
108;109;Narciso Rodriguez;NARCISO RODRIGUEZ;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
109;110;Shiseido;ZEN;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
110;111;Avon;FULL SPEED;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
111;112;Jean Paul Gaultier;KOKORICO;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
112;113;Calvin Klein;ONE SHOCK HIM;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
113;114;YSL;LA NUITDE L'HOMME;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
114;115;Alfred Dunhill;DESIRE FOR A MAN;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
115;116;YSL;OPIUM POUR HOMME;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
116;117;Carolina Herrera;CH MEN;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
117;118;TOMFORD;TABACO VAN?LYA;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
118;119;HERMES;HERMES;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
119;120;Diesel Tatto;ONLY THE BRAVE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
120;121;N?GHT HUGO;BOSS BOTTENT;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
121;122;DAVIT BECKHAM;INTINCT;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
122;123;LACOSTE;L-12 WHITE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
123;124;CHRISTIAN DIOR;DIOR HOMME INTENSE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
124;125;P?EN PARFUME;P?EN SEXY MEN;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
125;126;GIORGIO ARMANI;AQUA DI GIO ESSENSIA;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
126;127;GUCCI;GUILTY BLACK POUR HOMME;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
127;128;CALVIN KLEIN;ENCOUNTER;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
128;129;JOOP;JUMP;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
129;130;HUGO BOSS;HUGO RED;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
130;131;Paco Rabanne;ONE MILLION INTENSE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
131;132;Versace;EROS;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
132;133;GIORGIO ARMANI;CODE SPORT ATHLETE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
133;134;Avon;BLUE RUSH;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
134;135;Paco Rabanne;INVICTUS;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
135;136;Y.S.L;KOURUS;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
136;137;VIKTOR & ROLF;SPICEBOMB;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
137;501;PRADA;PRADA;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
138;512;Jean Paul Gaultier;FLEUR DE MALE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
139;513;Dolce&Gabana;THE ONE GENTLEMEN;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
140;514;AZZARO VISIT;AZZARO;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
141;515;Calvin Klein;TRUTH;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
142;516;Lancome;HYPNOSE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
143;517;Dolce&Gabana;LIGHT BLUE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
144;518;DAWIDOFF;DAWIDOFF GAME;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
145;520;HUGO BOSS;SOUL;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
146;521;HERMESTERRE;TERRE HEMESR;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
147;523;Chanel;EGOISTE;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
148;524;JOOP;HOMME WILD;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
149;525;AZZARO  ;AZZARO CHROME;1;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%;%#
